순위,제목,가수,앨범
1,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
2,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
3,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. by TOIL),베이식,쇼미더머니 10 Episode 3
4,불협화음 (Feat. AKMU) (Prod. by GRAY),Mudd the student,쇼미더머니 10 Semi Final
5,쉬어 (Feat. MINO) (Prod. by GRAY),아넌딜라이트 (Anandelight) & Unofficialboyy & BE'O (비오) & 지구인 & Mudd The Student,쇼미더머니 10 Episode 1
6,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
7,문득,BE'O (비오),Bipolar
8,Wake Up (Prod. by 코드 쿤스트),개코 & Ourealgoat (아우릴고트) & SINCE & 안병웅 & Tabber & 조광일,쇼미더머니 10 Episode 1
9,strawberry moon,아이유 (IU),strawberry moon
10,네가 없는 밤 (Feat. ASH ISLAND) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Final
11,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
12,MBTI (Feat. 쿠기 & 로꼬) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Semi Final
13,신호등,이무진,신호등
14,Stay,The Kid LAROI & Justin Bieber,Stay
15,Savage,aespa,Savage - The 1st Mini Album
16,ELEVEN,IVE (아이브),ELEVEN
17,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
18,눈이 오잖아 (Feat.헤이즈),이무진,눈이 오잖아
19,My Universe,Coldplay & 방탄소년단,My Universe
20,Hey Mama (Feat. Nicki Minaj & Bebe Rexha & Afrojack),David Guetta,Listen (Deluxe)
21,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
22,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
23,호우주의 (Feat. 개코 & 넉살 (Nucksal)) (Prod. by 코드 쿤스트),조광일,쇼미더머니 10 Semi Final
24,Next Level,aespa,Next Level
25,너를 생각해,주시크 (Joosiq),너를 생각해
26,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
27,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
28,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
29,깐부 (Feat. 염따 & ASH ISLAND) (Prod. by TOIL),쿤타 (Koonta),쇼미더머니 10 Episode 3
30,Bad Habits,Ed Sheeran,=
31,Permission to Dance,방탄소년단,Butter / Permission to Dance
32,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
33,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌 (K.Will),시간을 거슬러 (낮에 뜨는 달 X 케이윌)
34,Butter,방탄소년단,Butter
35,Santa Tell Me,Ariana Grande,Santa Tell Me
36,Weekend,태연 (TAEYEON),Weekend
37,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
38,가리온 (Feat. 다이나믹 듀오) (Prod. by Primary),조광일,쇼미더머니 10 Final
39,UP해 (Feat. 박재범 & 우원재) (Prod. by 코드 쿤스트),SINCE,쇼미더머니 10 Final
